TRANSECT,DON1,DON2,DON3,DON5,DON6,SUSA1,SUSA2,SUSA3,SUSA4,SUSA5,MADA1,MADA2,MADA3,MADA4,MADA5,LADI1,LADI2,LADI3,LADI4,LADI5,OTTO1,OTTO2,OTTO3,OTTO4,OTTO5,HOGU1,HOGU2,HOGU3,HOGU4,HOGU5,EMA1,EMA2,EMA3,EMA4,EMA5,KIS1,KIS2,KIS3,KIS4,KIS5,BRAD1,BRAD2,BRAD3,BRAD4,BRAD5,KIMBO2,KIMBO3,KIMBO4,KIMBO5,KIMBO6,ING1,ING2,ING3,ING4,ING5,JOL1,JOL2,JOL4,JOL5,JOL7
SITE,Donnas,Donnas,Donnas,Donnas,Donnas,Susans,Susans,Susans,Susans,Susans,Madaro,Madaro,Madaro,Madaro,Madaro,Lady Di,Lady Di,Lady Di,Lady Di,Lady Di,Ottos,Ottos,Ottos,Ottos,Ottos,Hogu,Hogu,Hogu,Hogu,Hogu,Ema,Ema,Ema,Ema,Ema,Kimbe Island,Kimbe Island,Kimbe Island,Kimbe Island,Kimbe Island,Bradford,Bradford,Bradford,Bradford,Bradford,Kimbe Bomie,Kimbe Bomie,Kimbe Bomie,Kimbe Bomie,Kimbe Bomie,Inglis,Inglis,Inglis,Inglis,Inglis,Joelles,Joelles,Joelles,Joelles,Joelles
REEFTYPE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT
Lutjanus gibbus,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,1,1,0,0,0,1,0,2,0,1,1,2,0,1,0,1,1,0,2,0,0
Lutjanus ehrenbergii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Macolor niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Lutjanus carponotatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutjanus kasmira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutjanus biguttatus,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
Pinjalo lewisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnosarda unicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Grammatorcynus bilineatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cephalopholis microprion,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cephalopholis leopardus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopholis argus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plectropomus oligacanthus,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Epinephelus coeruleopunctatus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopholis cyanostigma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
Epinephelus fasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epinephelus areolatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plectropomus leopardus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Plectropomus maculatus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Epinephelus polyphekadion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Variola albimarginata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,0,1,0
Anyperodon leucogrammicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopholis miniata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gracila albomarginata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sphyraena qenie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,4,0
TOTAL,0,3,3,3,7,1,0,1,1,2,1,0,1,1,0,1,4,0,0,0,2,1,9,2,2,6,4,3,5,0,1,2,2,1,7,1,14,0,6,1,31,4,914,5,64,4,14,7,5,16,6,2,7,4,37,38,82,14,13,10
