emmeans.Reeftype,emmeans.response,emmeans.SE,emmeans.df,emmeans.lower.CL,emmeans.upper.CL,contrasts.contrast,contrasts.estimate,contrasts.SE,contrasts.df,contrasts.lower.CL,contrasts.upper.CL,t.ratio,p.value
Pinnacle,27.007169440372582,4.947356560425366,114,17.206494198829606,36.807844681915554,Pinnacle - Offshore,12.678469168439912,5.856617867057572,114,-1.2293300802638143,26.58626841714364,2.164810724591412,0.081718908125498535
Offshore,14.32870027193267,3.1769951490888815,114,8.035097350880937,20.622303192984404,Pinnacle - Nearshore,19.905455933743916,5.317187199972001,114,7.278650869178362,32.53226099830947,3.74360638155616,8.297808138194585e-4
Nearshore,7.1017135066286645,1.975446958104643,114,3.1883682975635317,11.015058715693797,Offshore - Nearshore,7.226986765304005,3.7345175131650703,114,-1.641428597087181,16.09540212769519,1.9351862027228799,0.1335304603950539
