emmeans.Reeftype,emmeans.response,emmeans.SE,emmeans.df,emmeans.lower.CL,emmeans.upper.CL,contrasts.contrast,contrasts.estimate,contrasts.SE,contrasts.df,contrasts.lower.CL,contrasts.upper.CL,t.ratio,p.value
Pinnacle,16.607376329984024,4.397139703666876,115,7.8974888456732675,25.317263814294783,Pinnacle - Offshore,11.196817387297326,4.6509063161300706,115,0.15350764172295328,22.2401271328717,2.4074484898706756,0.046115834430497715
Offshore,5.4105589426866985,1.5228596423860863,115,2.394067079005536,8.42705080636786,Pinnacle - Nearshore,11.605563509854868,4.664385368412845,115,0.5302485293181771,22.680878490391557,2.488122784289563,0.03769242133156292
Nearshore,5.001812820129158,1.562950404319153,115,1.905908872882375,8.09771676737594,Offshore - Nearshore,0.40874612255754084,2.1791987088369513,115,-4.765635966236431,5.583128211351513,0.18756716443526647,0.9807950028930132
